timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
8886956,8886832,0,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
9387193,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
9892738,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
10398703,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
10904715,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
11410694,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
11916833,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
12422715,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
12928705,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
13434751,8886832,8968279,8413685,2147411327,8308095,0,2,2,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
